0Dreamstars.ModTranslation-name|模组翻译
You've probably seen these railway networks before!|你可能已经见过这种铁路系统了！


//3296852535
TrynsEvergreen-description|添加自定义蛞蝓猫（常青）和与之相伴的全新线路！<LINE>美术：NOTOCORDA -- 概念、故事与代码：Tryn <LINE>精灵动画：Tryn & Auro（以Cutscene Slugcats为基础）（LightParty协助） -- 自定义区域由 Tryn, Finbotic, Nimble, TheNotSoGood Gamer 和 Mold223 共同制作！
THE EVERGREEN|常青
The Evergreen|常青
Pure of heart and with an iron will, the Evergreen journeys<LINE>in a world frozen to its core.|纯净的心灵，钢铁的意志，常青在冰冻的世界踏上旅程。
A fluffy wanderer whose coat conceals an array of sharp quills.<LINE>Your journey will be one of curiosity, as you simply cannot bear to not explore a recent superstructure's collapse...|一位毛绒绒的漫游者，蓬松的皮毛下藏着锐利的棘刺。<LINE>你的旅程将充满好奇，只因你无法抗拒探索一座最近崩塌的巨构建筑的诱惑……
Turbulent Canopy|湍流雨棚
Forgotten Conduit|遗忘管径
Obstructed Ducts|淤塞管道
Garbage Shores|废料海岸
Glacial Shores|冰川海岸
Rusted Gardens|锈蚀花园
Hoarfrost Gardens|霜冻花园
Pasture Bogs|牧场沼泽
Preserved Thicket|密封树丛
Icebound Fringe|冰封边境
The Remains|遗墟
The Permafrost|永冻层
Rooted Culvert|盘根暗渠
Sunken Grotto|沉没石窟
Flooded Bastion|水没堡垒
Memory Run-off|记忆径流
Conductive Heights|导电高地
Frozen Mast|冰霜桅杆
Eastern Seaway|东向航道
Suburban Creek|郊区溪涧
Inactive Conduits|停用管线
// echo
// OZ
With no intention did I plunge unto our hallowed fluid..|我无意投身于我们神圣的流体……
I felt the chains that tied me to the world, fade away. My soul unbound.|我感到将我和世界相连的锁链，渐渐消逝，我的灵魂不再受缚。
But then I saw myself in a truer light - not as myself chained to a world...<LINE>but instead myself as the mesh of chains! To be unshackled... was to no longer be.|但随后，我更真实地审视了自己——并非作为被束缚于世界的自己……<LINE>而是作为那锁链织成的网格！挣脱枷锁……即是不复存在。
I refused to go. There were still things I wanted to do. So much the world had yet to offer!|我拒绝离开，世上仍有我未竟之事，世界还有太多未曾呈现！
I crawled out of oblivion, to an existence translucent. |我从虚无中爬出，进入一种半透明的存在。
So here I stand! Or, float, rather. "Burdened" by a existence that<LINE>has given me the opportunity to watch all of time unfold in front of me!|所以我站在此处！或者说，飘在此处，“背负”着一种存在，<LINE>它给予我机会去目睹所有时间在我眼前展开！
But you however! The journey you have taken to find me is one of great peril...<LINE>Not to mention quite intentional. Perhaps you are an explorer like I once was?|但是你呢！你寻找我的旅程充满了巨大的危险……<LINE>更不用说，你是有意这样做的，或许你同我曾经那样，是一位探索者？
Although... you are unique to this world. Your natural atunement is much closer to ours. |尽管……你之于这个世界独一无二，你那自然的协调更接近于我们。
Perhaps you're no explorer! Instead a messenger? Sent by those out of our control?|也许你不是个探索者！而是一位信使？被那些超出我们掌控的存在派出？
You're quite a unique little creature. I shall be watching your journey with great intent.|你真是个与众不同的小生灵，我将怀着极大的兴致注视你的旅程。
// LF
The bitter air runs free.| 苦寒之风肆意穿行。
Do you hear it? the once swaying plantlife of these lush fields...|你听见了吗？这葱郁田野间曾经摇曳的草木……
Reduced to nothing but the sound of wind and snow.|如今仅剩风雪之声。
Its odd to think... I once had such a strong distaste for the sounds of rough machinery.|说来奇怪……我曾经多么厌恶粗糙机械的响声。
And here i am, Longing for its return.|而此刻的我，却渴望着它的回归。
Will the snow bury the remains of our creations? Only time will tell.|白雪终会埋葬我们造物的残骸吗？只有时间知晓。
// CC
A visitor. High up in my forgotten perch.|一位访客，在我这被遗忘的高处栖所。
I can see it all from here. Our creations. The towering structures, the places we all once called our homes.|从这里我能看见一切。我们的筑造。那些高耸的结构，一切曾经被称作家园之地。
I have been subjected to witnessing it succumb to the frost.|我被迫见证它屈服于霜冻。
...and finally crumble to dust.|……最终崩塌为尘土。
I wish that I could pry my eyes away from this tragedy for but a moment.|我多希望能将目光从这悲剧上移开一瞬。
But that is not a luxury I possess.|但那并非我能享有的奢侈。
// SI
I hear them|我听见
A thousand voices talking as one.|万千声音齐鸣。
And while Past and Present are slurred into one, the future hasn't uttered a word.|过往和现在模糊成一片，未来却一言不发。
I can hear naught but one thing echoing from the distant frozen future.|我仅能听见一件事，于遥远霜冻的未来传来回响。
the wind, howling in melancholic high tones.|风，以忧郁的高音哀嚎。
The end is nigh, little beast.|终结近了，小野兽啊。
// SB
Another little beast!|又一只小野兽！
But, a bit smarter than the rest.|不过，要比其余的稍微聪明些。
Have you come to watch the great undoing?|你是来见证这场宏大的崩解吗？
The encroachment of a dazzling gold, until a serene black takes it all in a loving embrace.|璀璨的金侵蚀一切，直至宁静的黑以爱意将一切拥入怀中。
Perhaps you will be the last little beast to visit.|或许你将是最后一只来造访的小野兽。
I very much hope that isn't the case.|我衷心希望并非如此。
// UG
What a marvelous little creature!|多么奇妙的小生灵！
shaped by the harsh freezing winds to resemble nature.|凛冽寒风为之塑形，与自然同貌。
I feel you're one of the many reasons I find myself pondering...|我觉着，你正是让我不禁思考的万千原因之一……
why would we ever leave this place? When we are surrounded by such marvels?|为什么我们曾要离开此地？当我们被如此奇迹环绕？
we neglected to realise: our paradise was around us all along.|我们未能察觉：我们的天堂始终环绕我们身畔。
// CL
Around you, one of our final creations crumble.|在你周围，我们最后的造物之一崩毁。
its mission fundumentally flawed, has become a bastion for what is left.|它的使命存在根本的缺陷，成为了残存之物的堡垒。
Designed to solve a problem that we could not solve ourselves.|它们旨在解决我们自己无法解决的问题。
Its no wonder they wished to escape the very same problem that we escaped ourselves|难怪它们也渴望着逃离，逃离我们曾逃离过的相同困境。
Not once did we consider, that maybe the very same problem we created...|我们从未考虑过，或许我们亲手创造的问题……
Would haunt the same ones made to fix it.|将会缠扰那些被造来解决它的存在。
// SL
Were you here to witness it little creature?|你是来见证它的吗，小生灵？
The passing of a god. succumbing to its wounds.|一位神明的逝去，屈服于自身的伤痕。
crumbling to rubble before what was once my very eyes.|在我曾经的眼前化为碎石。
We once thought they would last forever, monuments to our accomplishments for the future to see!|我们曾以为它们将永恒矗立，作为我们成就的纪念碑让未来瞻仰！
All slowly returning to the earth that once gave birth to it.|一切都慢慢回归曾经孕育了它的大地。
We were fools.|我们是愚者。
// MS
What a monumental accomplishment! Making it to my little corner of the world.|多么了不起的成就！竟来到我在这个世界的小小角落。
I wonder what drew you here?|我好奇是什么引你至此？
I'd say bravery or curiosity. But I think I can see it.|我本想说勇气或好奇心，但我想现在我明白了。
The sadness in your eyes.|你眼中的哀伤。
You've lost someone, havent you?|你失去了谁，对吗？
Stay strong, little one. While we may share an emotional predicament, we do not share a physical predicament. Keep going, like we never could.|保持坚强，小家伙。纵然或许我们情感上困境相似，身体上境遇却全然不同。继续前进吧，像我们从未能做到的那样。
// FP
...|……
You...glow|你……发光
hurt...her|伤害了……她
why?|为什么？
Moon's...Overseers|月姐的……监视者
Havent seen...a while...now|已经……好久没……见到了
What...did you...do?|你……做了……什么？
...Why... take all I... have...|……为什么……带走我……所有的……
...Give it... back...|……还……回来……
...Bring it back...|……拿回来……
...So little... left. Why?|……只剩……一点了。为什么？
...Hello...fluffy thing.|……你好……毛绒绒的家伙。
...So cold.|……太冷了。
...Nothing left...|……什么也不剩了……
...Why back?|……为什么回来？
...Little Pine tree... friend. Hello.|……小松树……朋友。你好。
...fluffy|……毛绒绒。
// LttM
...Ah!|……啊！
Another with the mark! How fascinating.|又一个带标记的小生灵！多么有趣。
You seem rather shocked to see me little one. <LINE>I suppose you werent expecting to see an iterator clinging to life out here deep in our own frozen remains?|你见到我好像很惊讶，小家伙。<LINE>我猜你没想到，在这片我们冰冻的残骸深处，竟会看到一个仍在顽强存活的迭代器吧？
It's more than that... Isn't it little Pine tree?|不止这些吧……是不是，小松树？
the look in your eyes... An unrelenting sorrow that it appears we both share.|在你的眼神里……似乎有一种我们共有的，无法缓解的悲伤。
I've... also lost someone, Quite recently no doubt. <LINE>Maybe their collapse is what drew you here?|我……曾经也失去了某人，无疑就在不久前。 <LINE>或许正是祂的坍塌将你引至此地？
You're very brave to have travelled such a distance. <LINE>I suppose I already know why you'd accomplish such a feat.|你能旅行这么远非常勇敢。<LINE>我想我或许知道你为什么要完成如此壮举了。
I am afraid to say that I cannot help you... <LINE>Although what i can do is push you in the right direction.|恐怕我必须说，我帮不了你……<LINE>尽管我能把你推向正确的方向。
Far below the remains of my can, to the west... <LINE>Lies an entrance to the old subterranean railway.|远在我的罐头的残骸之下，向西走……<LINE>坐落着一个通往旧地下铁路的入口。
The schematics held in my memory may now be obsolete...<LINE>But if I am correct, the tunnels below should still lead to their temples.|我内存中的示意图现在或许已经过时了……<LINE>但如果我是对的，下方的隧道仍然应该通往他们的寺庙。 
Best of luck little traveller. I hope you find them again at the end of it all.|祝你好运，小旅行家。愿你最终能再度寻见祂。
Hello again little pine tree! How goes your travels?|你好呀，小松树！你的旅行怎么样了？
Have you... scaled five pebbles?|你……到过五块卵石那里了吗？
My overseers are dwindling with every passing day... Theyre not made for this bitter new world. <LINE>They can barely reach what was once his chamber anymore... And I...|我的监视者们日渐减少……它们不是为这个严寒的新世界而生的。<LINE>它们几乎再也触不到曾是他的演算室的地方了……而我……
I just hope he's doing okay up there... he may not even be...|我只希望他在上面一切都好……他可能甚至已经不在了……
No use in worrying anymore. The company is appreciated, my little fluffy friend.|不必再忧虑了，有你的陪伴我很感激，毛绒绒的小朋友。
wh...why...?|为……为什么……？
s..stop... n..no...|停……停下……不-不要……
...P..Please i.... have...s-so much more...to do...i may..be the last...|……请求你……我……还有……很-很多的事情……要做……我可能是最后的了……
D-did you... Eat them!? D-did you do this to them too!?|你-你……吃了它们！？你-你也这样对祂的吗！？
... G-get away! stay away! dont.. dont touch me! please leave me alone!|……走-走开！离我远点！不……不要碰我！请你别打扰我！
L-little creature!! i know you may be reacting on instinct alone but p-please!! you're hurting me!|小-小生灵！！我知道你可能只是凭直觉做出反应，但拜托！！你弄疼我了！
It appears to be a Quill like the ones present on your back! However it is much larger than the ones visually present...<LINE> Perhaps you have evolved these for self defence? They are quite sharp after all!|这看起来是根棘刺，和你背上那些很相似！不过它比看上去要大得多……<LINE>或许你是为了自卫才进化出这些的？毕竟它们相当锋利！
I wonder... You are quite similar to another of your kind I saw so very long ago. Perhaps you are what inspired their creation?|我在想……你和我很久之前见到的一位你的同类非常相似。或许你是它被创造的灵感来源？
Although, You are quite alot fluffier my little pine tree friend!~|不过，你要毛绒绒得多呢，我的小松树朋友！~

//3626391874
HySt-description|在小径延伸之处，隐藏着巨大的水培设施。
Hydroponic station|水培站
//H710_GREEN_PEARL
This pearl apparently contains the key to removing waste.|这颗珍珠显然搭载废渣移除密匙。
Its crystalline cage has been pierced numerous times by something.|其内部晶格已被多次刺穿。
Unfortunately, I can no longer use it.|很遗憾，我无法使用它了。
But it seems like someone left their signature.|但似乎有人留下了签名。
And it's not digital; it's engraved directly on the pearl's<LINE>carbon material...|这并没有作为信息刻录；<LINE>而是被刻在了这颗珍珠的碳质上...
It looks like a bell... : 20|看上去像一颗铃铛...: 20
Perhaps I even know the sender!|也许我认识发件人！
Or did know him once...|或者说是曾经...
My problem really has spread that far...|我的事情所造成的影响扩散得如此之远...
It was truly a gesture of compassion and kindness.|这确实是一种同情又善意的表示。
0 : It's a great pity that the messenger failed in his mission. : 80|0 : 这位信使没能完成任务真是太遗憾了。 : 80

//3626765602
sequesteredfacility-description|我的第一个区域。
Sequestered Facility|偏僻设施
I Like It When The Prey Fights Back|我最喜欢猎物反击的时刻
I Like it When The Prey Fights Back|我最喜欢猎物反击的时刻
Chilled Corner|凛冽僻地

//3626635123
ferroussteppes-description|由工业设施和露天空间组成的区域。<LINE>连接阴影城堡、农场阵列和海岸线。目前需要倾盆大雨DLC，并后置于MSC。
Ferrous Steppes|黑铁草原
Compost Duct|堆肥管
Wrought Sward|铁铸草坪
Decomposing Gutter|腐殖地沟

//3333707258
The Castaway
The Castaway-description|在一场毁灭性的风暴后，一只名为漂流者的半水栖，会吹泡泡的猫崽与亲人失散，被抛到海岸线之外陌生世界中。<LINE>你是会适应周围环境，独自在世界中前行，还是跟随如今的远亲深入未知的世界？<LINE>漂流者现在兼容观望者DLC了！<LINE>软锁定的问题已经解决！<LINE>暂时没有开场动画、竞技场、真结局CG，并使用了饕餮的世界设置。<LINE>我一直关注于学业（我尝试做了至少7个开场动画，但每个都不喜欢并陷入瓶颈）<LINE>就剧情内容来说，除了还没有剧情动画和独特仰望皓月对话外已经应有尽有了（对话，结局，机制）<LINE>它也有使命任务和一些其他的特殊挑战内容！<LINE>雨甸1.5版本的兼容性未测试但应该有。<LINE>已知不兼容：Dress My Slugcat的自定义尾部会破坏尾巴纹路。
The Castaway|漂流者
THE CASTAWAY|漂流者
A juvenile from beyond the sea, relying on wit and caution for survival.<LINE>Vunerable and far away from home, will you adapt to your circumstances, or reconnect with distant kin?|一只来自海彼岸的幼崽，依靠智慧和谨慎谋生。<LINE>脆弱而又远离家乡，你是会适应如今的环境，还是去与远方的亲人重新建立联系？
Now confident in exploring the world,<LINE>the Castaway returns to find their place in this ecosystem|如今对探索世界充满信心的漂流者，将在这个生态系统中寻找它的一席之地。
Sightseeing|观光
Castaway Interactions:|漂流者操作：
Hold JUMP while swimming to increase swim speed|游泳时按住“跳跃”键以提高游泳速度
Hold GRAB to blow a bubble / Maul bubble shield / Maul held bubble / Refill bubble-weed|按住“抓取”键吹泡泡/击破气泡护盾/击破泡泡/补充气泡草
Press SPEC with at least 2 food pips to create a bubble shield|按住“特殊”键，消耗2格饱食度制造气泡护盾
Hold a directional input while mauling a bubble / shield to be propelled in that direction|击破气泡护盾/泡泡时按住“方向”键以向指定方向推进
...is this reaching you?|...你能听到吗？
A young animal on the floor around my chamber. I think I know what you are looking for.|年幼的生物，在我房间地面上的那个。我想我知道你在找什么。
You're stuck in a cycle, a repeating pattern. You want a way out.|你被困在了一个周而复始的循环当中。你想要找到出路。
The good news first. As a gift of charity from my creators to this world, I am aware of the ecosystems enclosed within my facility.<LINE>You are an outsider. You do not belong here.|先告诉你好消息。作为我的创造者献给这个世界的<LINE>慈善礼物，我知晓我所在辖区内的生态系统。<LINE>你是一个外来者。你并不属于这里。
East past the shore, past the channel that separates your world from mine lies the rest of your subspecies.|向东跨越海岸，穿过那条将你们与我们的世界分隔开的海峡，<LINE>那便是你们亚种的其余成员的所在之处。
A tunnel connects these two coastlines. Go east, beyond the Garbage Wastes, and deep into the remains of my neighbour's structure.|有一条隧道连接着两条海岸线。向东，越过垃圾堆，深入我的邻居巨构的遗骸。
The bad news is that in your particular situation, the bonds that tether you to this world are too great.<LINE>Even with the assistance of a god such as myself, you would remain unable to pass through to the spiritual realm.|坏消息是，你的情况太特殊，将你与这个世界相连的纽带过于坚固。<LINE>就算是有像我这样的神的帮助，你也无法穿越至精神世界。
If for some inane reason you still believe that you could break free from your cycle, your solution lies deep beneath my structure, where the land fissures.|若出于一些荒唐的理由你仍坚信你能摆脱你的循环，你的出路就在我的设施深处——那大地断裂之处。
Not that my assistance solves anyone's problem but yours.|这不代表我能解决一切问题，而是你的我能解决。
Best of luck to you, young creature. I must resume my work.|祝你好运，年幼的生物。我得继续我的工作了。
You are starving, find food and shelter|你在挨饿，去找到食物和庇护所。
Hold GRAB with free hands to blow a bubble|空置双手时，按住“抓取”键吹泡泡
Hold GRAB to maul a held bubble, this may propel you in a direction|按住“抓取”键击破泡泡，并将你向一个方向推进
With sufficient food, press SPEC to create a bubble shield|拥有饱食度时，按住“特殊”键制造一株气泡草
You cannot blow bubbles whilst shielded. Holding GRAB will destroy the shield|拥有护盾时无法吹泡泡。按住“抓取”键将破坏护盾。
Hold GRAB to fill shrivelled bubbleweed with air|按住“抓取”键重新为气泡草补充氧气

//3630272443
trialbyfire-description|你好，这是我第一个区域模组，所以……它也许有点糟糕。但是，嘿！至少我在学习嘛。不管怎样，玩得开心！
Trial by Fire|烈火审判
The Depths|深渊
The leg (cooling unit)|支架（冷却装置）
The Simulation|模拟区

//3018286165
leemoriya.forecast-description|添加了一种新的动态天气系统，以及许多可配置设置。
ENABLED|开启
DISABLED|关闭
SUPPORT MODE|支持模式
[RegEX]When support mode is active, Forecast will not generate any weather\nunless a region has custom settings defined by a mod.|当支持模式启动时，天气预报（Forecast）将不会生成任何天气#Environment.NewLine#除非区域有通过模组进行自定义设置。
GLOBAL|全局
GLOBAL SETTINGS|全局设置
[RegEX]Define settings that apply to all areas where weather is enabled, including global forecasts.\nYou can configure different forecasts per region in the 'Regions' tab.|自定义所有启用天气系统的区域的设置，包括全局天气预报。#Environment.NewLine#你可以在“Regions”选项卡中为不同的区域配置不同的天气。
- FORECAST SETTINGS -|- 天气预报设置 -
WEATHER PREFERENCE|天气偏好
Weathers transition more realistically - overwrites above chances|让天气转变更加真实--覆盖了随机性
WEATHER RANDOMNESS|随机天气
Chance that preference will be ignored and a random weather is chosen|忽略偏好，选择随机天气
- BASIC SETTINGS -|- 基础设置 -
WEATHER INTENSITY|天气强度
Adjust whether intensity should change over time or be a fixed value|使天气强度随着时间变化，或者成为固定值
WEATHER CHANCE|天气概率
The chance that weather will occur each cycle|每个循环中天气出现的概率
PARTICLE LIMIT|粒子限制
Influences the number of particles that can appear|影响能够出现的粒子的数量
WIND DIRECTION|风向
The direction particles will fall each cycle|每个循环中粒子下落的方向
ARENA WEATHER|竞技场天气
Enable the global weather forecast in Arena|在竞技场中启用全局天气预报
- VISUAL SETTINGS -|- 视觉设置 -
BACKGROUND LIGHTNING|背景闪电
During thunderstorms, lightning flashes can occur|在雷暴中，可能出现闪电
BACKGROUND COLLISION|背景碰撞
Whether particles can collide with background elements|粒子是否可以和背景发生碰撞
WATER COLLISION|水体碰撞
Whether particles create ripples on water surfaces|粒子是否会在水面激起波纹
- LIGHTNING SETTINGS -|- 闪电设置 -
LIGHTNING STRIKES|雷击
Lightning strikes can occur during thunderstorms|雷暴期间会产生雷击
LIGHTNING INTERVAL|闪电间隔
The minimum interval at which lightning can strike in seconds|雷击在几秒内的最小时间间隔
LIGHTNING CHANCE|闪电几率
The percentage chance a strike will occur at each interval|每次间隔发生雷击的百分比
DAMAGE TYPE|破坏类型
What type of damage a lightning strike will inflict upon hit|闪电击中时会造成什么类型的破坏
WEATHER TYPES|天气类型
The weather types lightning strikes can occur in|会发生雷击的天气类型
GREEN LIGHTNING|绿色闪电
Makes lighting strikes green in Shaded Citadel and The Exterior|让阴影城堡和外缘的雷击变成绿色
- SNOW SETTINGS -|- 降雪设置 -
FORECAST|天气预报
DOWNPOUR|倾盆大雨
SNOW SOURCES|降雪源
Dynamically places snow sources during snowy weather|在下雪天气中动态布置降雪源
COLD FACTOR|寒冷因素
Configure the rate at which you grown cold in Forecast style blizzards|配置你在天气预报类型的暴风雪中变冷的速率
WIND SPEED|风速
How easily the player is pushed by wind during Forecast style blizzards|在天气预报类型的暴风雪中玩家容易被风推动的程度
ICY BORDER|冰冻边框
Toggle an icy border that indicates coldness|切换为冰封边框来表达你的寒冷程度
EFFECT COLORS|颜色效果
Desaturates and tints effect colors to better match snowy palettes|降低饱和度和调浅色板颜色以更符合雪天色板
SUPPORT MODE ENABLED|支持模式启用
Forecast will only generate weather for regions with their own custom settings.\nTo allow weather for all regions, and to change the global settings, disable support mode.|天气预报只会为那些拥有自己自定义设置的区域生成天气。<LINE>若要允许所有区域成天气，以及更改全局设定，请关闭支持模式。
REGION SETTINGS|区域设置
[RegEX]Adjust whether a region will use the GLOBAL forecast you have set or define a CUSTOM one.\nTo fully disable weather, change it's setting to NONE.\n\nIf a region has specific settings configured by a mod-maker, it can be overridden here.|配置一个区域是使用你设置的全局天气预报或者单独自定义天气预报。#Environment.NewLine#完全关闭天气请将其改变为“无”。#Environment.NewLine##Environment.NewLine#如果一个区域有模组作者已经配置好的特殊设置，这会覆盖掉它。
{0}.{1}) Change this region's weather settings|{0}.{1}) 更改此区域的天气设置
forecastcog|预测分析
This region has it's own modded settings|这个区域已有专属模组设置
EDIT FORECAST|编辑天气预报
Adjust the probability that each weather will occur, or disable certain weathers entirely.|调整每个天气发生的可能性，或者完全禁用某个特定天气。
NONE|无
CUSTOM|自定义
MOD|模组
ERROR|错误
STUN|昏迷
LETHAL|致死
THUNDERSTORM|雷暴
[RegEX]THUNDERSTORM\n& BLIZZARD|雷暴#Environment.NewLine#& 暴风雪
ALL|全部
[RegEX]DYNAMIC.*(Recommended)|动态#Environment.NewLine#（推荐）
LOW|低
MEDIUM|中等
HIGH|高
RANDOM|随机
LEFT|左
CENTER|中间
RIGHT|右
SAVE|保存
WARNING: Saving will reset any existing region weathers.|警告：保存将会重置所有现有的区域天气设置。
[RegEX]GLOBAL FORECAST.*Adjust the probabilities that certain weathers will occur, or disable certain weathers entirely. Each cycle, a weather will be selected based on the chances you define here. The 'GLOBAL' forecast applies to all regions by default, unless you have configured a custom forecast for a specific region.|全局天气预报#Environment.NewLine#调整某些天气出现的概率，或者禁用某些天气。每个循环，会基于你在此设置的概率选择一个天气。默认情况下，全局天气预报会应用于所有区域，除非您给特定区域设置了自定义天气预报。
[RegEX]WEATHER PREFERENCE\nThis setting disables the GLOBAL forecast in favor of more realistic weather transitions. Each weather has it's own list of preferred weathers it will change into next cycle, preventing scenarios like light rain one cycle, and a blizzard the next.|天气偏好#Environment.NewLine#此设置会关闭全局天气预报，转而采用更贴近现实的天气变化方式。每一个天气拥有自己的下一雨循环天气变化倾向列表，避免出现像是一个雨循环的天气是小雨，下个循环的天气是暴风雪的现象。
[RegEX]WEATHER RANDOMNESS\nIf you are using the Weather Preference setting, you can adjust this slider to introduce some additional randomness to the forecast. Based on the percentage, a completely random weather will be selected.|随机天气#Environment.NewLine#如果您启用了天气偏好设置，你可以调整调整这个滑块来为天气预报引入一些额外的随机性。基于百分比，将会选择一个完全随机的天气。
[RegEX]WEATHER INTENSITY\nEach weather type has a minimum and maximum intensity. In dynamic mode, weather intensity will gradually progress from the minimum to the maximum as the cycle progresses, or you can set it to a fixed value.|天气强度#Environment.NewLine#每一个天气类型拥有一个最小和最大强度。在动态模式中，天气强度会随着循环进程从最小值演变到最大值，或者您可以设定一个固定值。
[RegEX]BACKGROUND COLLISION\nEach weather particle has a chance of colliding with elements in the background instead of just normal room geometry. This can look more realistic but may also result in less particles hitting the floor in taller rooms.|背景碰撞#Environment.NewLine#每个天气粒子都会有几率撞击背景中的元素而不是房间中的常规几何结构。这会让其看起来更真实，但也可能会导致在较高的房间中撞击地板的粒子减少。
[RegEX]FORECAST STYLE\nForecast's own snow style; has it's own snowflake particles and a unique end-of-cycle Blizzard. After cycle end the temperature will decrease and the wind will pick up. Your exposure to the cold is indicated by an icy border and eventually, beating drums will signal your imminent death.|天气预报类型#Environment.NewLine#天气预报自己的降雪类型，拥有专属的雪花粒子效果以及专属的循环终末的暴风雪。在循环结束之后，温度会骤降并且风会增大。你暴露在寒冷中的程度将会由冰封边框表示，最终，敲击的鼓点会预示你即将到来的死亡。
[RegEX]DOWNPOUR STYLE\nUses the snowfall shader added in the Downpour DLC as well as it's end-of-cycle Blizzard. Has the same hypothermia mechanics present in Saint's campaign, however if you do not own a DLC, the weather will change back to rain at the end of the cycle.|倾盆大雨类型#Environment.NewLine#使用倾盆大雨DLC中添加的降雪着色器和循环结束的暴雪。有和圣徒战役相同的降温百分比机制，不过，如果你一个DLC都没有，那么天气会变成循环结束时的暴雨。
[RegEX]SNOW SOURCES\nDuring snowy weather, snow piles will be dynamically placed in rooms. As the cycle progresses, the snow will accumulate. Unfortunately can look quite jarring in dark places like Shaded Citadel.|降雪源#Environment.NewLine#在下雪的天气里，雪砖会被动态地放置在房间中，随着循环发展，雪会累积起来。不幸的是，它会在黑暗的地方看起来非常显眼，比如阴影城堡。

//3630842886
supermariobrosworldone-description|这是对原版《超级马里奥兄弟》中的关卡“World1”的复刻。<LINE>建议从地下进入，从郊区出来。<LINE>这个模组没什么特别的地方，只是我第一次尝试制作区域模组。<LINE>如果发现任何bug，欢迎向我反馈。
Sidewall Road|沿墙跑道
Sidewall Road (Trainway Grounds)|铁路场
Sidewall Road (Washout Islands)|冲蚀群岛
Sidewall Road (Wastewater Facility)|废水处理设施
Cat Mario|猫里奥

//smbo_MARIO_PEARL-LTTM
Oh, this is an interesting find <PlayerName>! This seems to contain an operating record for some sort of<LINE>parkour course around the western side of the retaining wall.|哦，很有意思，<PlayerName>！<LINE>这是一份挡土墙西侧跑酷赛道的通行记录。
Given how you have this, it is reasonable to assume you have been there.<LINE>But from I can tell it was a course where my creators would try to make it from the top of the retaining wall down to one of the<LINE>abandoned suburbs before the downpours from Five Pebbles and I came down.|你既然能拿到这个，肯定去过那儿了。据我所知，在我和五块卵石带来的倾盆大雨降临地表之前，<LINE>创造者们打算将这条赛道从挡土墙顶部一直修到废弃的郊区。
And it seems that this course was based off of a popular... play? I'm sorry, <PlayerName>,<LINE>this pearl is well worn and I have no memory of this place.|而且这赛道好像是照着一部广受欢迎的……舞台剧来建的？<LINE>抱歉，<PlayerName>，这颗珍珠磨损得太厉害了，我也已经完全不记得这个地方。
I wonder what Five Pebbles would know about it...|我好奇五块卵石对此了解多少……

//smbo_MARIO_PEARL-artificer
This is an odd find, <PlayerName>. This contains an operating record for an obstacle course to the west of my facility.|这真是个奇怪的发现，<PlayerName>。<LINE>里面是在我巨构西边的障碍赛道的运行记录。
It was being made as I was being constructed, though it was completed before I was and<LINE>my creators enjoyed it for generations before me.|在我诞生前，它就已经修建好，被创造者们使用了几代之久。
In the rare times that I was not busy doing extensive tasks, I would watch them try to complete<LINE>the course with my overseers. Often times they had to take breaks midway due to the rainstorms we Iterators put out.|在我难得没有忙于繁重任务的闲暇时间，我会通过监视者观察他们如何尝试跑完赛道。<LINE>大多数时候，因为我们产生的暴雨，他们不得不中途休息。
Though I did enjoy watching them at the time, it was odd to me that it was only made for recreational purposes,<LINE>as were the plays and games that inspired it. The inane thing to me is that there were plans to make<LINE>7 more of these courses all around this facility to "adapt" the rest of the material.|尽管我当时确实很喜欢观看这个“节目”，但这些赛道古怪地仅是为了娱乐目的而修建，就像那些作为它的灵感来源的戏剧和游戏一样。<LINE>令我感到荒谬的是，还有另外7条这样的赛道计划在它周围建造，为了“改编”那些作品剩下的内容。
It is good that those plans were never put through. While they created us to use as tools to offput tasks onto,<LINE>the fact they put so much effort into such extensive and meaningless projects is frustrating, to say the least.<LINE>It is as though they made every selfish decision they could before ascending.|计划从未付诸实施，倒也算好事。尽管他们抱着将各种繁杂的任务都推卸给工具的目的创造了我们，但是，<LINE>他们在这个庞大而毫无意义的项目上倾注了如此多精力，才是真的让迭感到前途黯淡。<LINE>仿佛在飞升前，他们把能做的自私决定都做了个遍。
Sorry, <PlayerName>, it would be pointless to explain my frustrations to you. You would not understand,<LINE>and I should be getting back to my work.|抱歉，<PlayerName>，向你解释我的不满毫无意义。<LINE>你不会理解，我该继续工作了。
I wonder how Moon would have felt about this pearl...|不知道皓月会对这颗珍珠作何感想……

//NSH_smbo_MARIO_PEARL-NSH
Haha, this is a good find, <PlayerName>! This must be from the old road on the west side of Five Pebbles!|哈哈，真不错的发现，<PlayerName>！它一定来自五块卵石西边的那条旧跑道！
Though there were a few paths from my can to his, that one was a particular favorite of my citizens,<LINE>since it took after some entertainment they liked. It was particularly popular with families;<LINE>they would take it to go visit relatives around Five Pebbles.|虽然从我的罐头到他的罐头有好几条路，但我的公民特别喜欢这一条。因为它参考了他们喜欢的娱乐作品。<LINE>尤其拖家带口的，都爱走这条路去五块卵石周边拜访亲戚。
